Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0974119229536537,-0.0033838673625131,0.118284466246298,0,0,0,16.3419785579209,0.274921224314501,-6.97546181423208E-06,0.00161353285265084,0.52344675669446,-1.69332470814011E-06,0.469334126026911,0,0,0,0,0,0,package://rover_sensors_final/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/base_link.STL,,o_block-1;rover_base-1,globl origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_wheel,-7.5806583232918E-11,1.11765657195761,-1.7887302750097E-11,0,0,0,10.7295172877951,0.0878554122630346,-1.97423028531567E-17,1.56711532267608E-07,0.125599880383852,-3.9005028676277E-17,0.0878546343946613,0,0,0,0,0,0,package://rover_sensors_final/meshes/fl_wheel.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/fl_wheel.STL,,tyre-1,ori r1,Axis_fl_wheel_joint,fl_wheel_joint,continuous,0.78192,-0.60398,-0.18351,0,0,0,base_link,0,1,0,,,,,,,,,,,,
ml_wheel,1.94069426084909E-06,1.11779382767718,-6.20832019126993E-09,0,0,0,10.7295172877951,0.0878550259938906,2.65319011372673E-16,4.19310390280026E-07,0.125599880383852,2.36395764126699E-16,0.0878550206638052,0,0,0,0,0,0,package://rover_sensors_final/meshes/ml_wheel.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/ml_wheel.STL,,tyre-2,ori r2,Axis_ml_wheel_joint,ml_wheel_joint,continuous,-0.00050767,-0.60398,-0.18101,0,0,0,base_link,0,1,0,,,,,,,,,,,,
bl_wheel,0,1.11808157205761,-3.33066907387547E-16,0,0,0,10.7295172877951,0.0878547871251784,2.03651062413897E-17,-3.46462310043841E-07,0.125599880383852,-7.62022703636417E-19,0.0878552595325177,0,0,0,0,0,0,package://rover_sensors_final/meshes/bl_wheel.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/bl_wheel.STL,,tyre-3,ori r3,Axis_bl_wheel_joint,bl_wheel_joint,continuous,-0.782934189282725,-0.604400199972054,-0.178516200300202,0,0,0,base_link,0,1,0,,,,,,,,,,,,
fr_wheel,-7.21644966006352E-16,-1.12208157205761,9.43689570931383E-16,0,0,0,10.7295172877951,0.0878547949349544,1.34699995551748E-17,3.51659686604894E-07,0.125599880383852,-3.11552619746815E-17,0.0878552517227415,0,0,0,0,0,0,package://rover_sensors_final/meshes/fr_wheel.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/fr_wheel.STL,,tyre-4,ori l1,Axis_fr_wheel_joint,fr_wheel_joint,continuous,0.78192,0.6084,-0.18351,0,0,0,base_link,0,1,0,,,,,,,,,,,,
mr_wheel,-1.94069426134869E-06,-1.12208157205761,6.20832030229224E-09,0,0,0,10.7295172877951,0.0878547871251778,3.55229551843471E-17,3.46462310048239E-07,0.125599880383851,1.30406496965498E-17,0.0878552595325171,0,0,0,0,0,0,package://rover_sensors_final/meshes/mr_wheel.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/mr_wheel.STL,,tyre-5,ori l2,Axis_mr_wheel_joint,mr_wheel_joint,continuous,-0.00050573,0.6084,-0.18101,0,0,0,base_link,0,1,0,,,,,,,,,,,,
br_wheel,7.58648699417108E-11,-1.12208157205761,1.75760517251433E-11,0,0,0,10.7295172877951,0.0878547871251783,-4.34412130648097E-18,3.46462310036762E-07,0.125599880383852,-1.28568598822259E-17,0.0878552595325176,0,0,0,0,0,0,package://rover_sensors_final/meshes/br_wheel.STL,0.823529411764706,0.823529411764706,1,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/br_wheel.STL,,tyre-6,ori l3,Axis_br_wheel_joint,br_wheel_joint,continuous,-0.78293,0.6084,-0.17852,0,0,0,base_link,0,1,0,,,,,,,,,,,,
gps,-0.000485624054398004,0.000308605789608118,-2.24630807402985E-06,0,0,0,0.0574872228273307,1.48765556793307E-05,4.28941138120931E-07,-1.77513206942731E-09,1.53297675957426E-05,-5.05505859993508E-11,2.66209101762237E-05,0,0,0,0,0,0,package://rover_sensors_final/meshes/gps.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/gps.STL,,gps-1,Origin_gps_joint,Axis_gps_joint,gps_joint,fixed,-0.445387827952741,0.209500000069579,0.148000000020972,0,0,2.06259454146285,base_link,0,0,0,,,,,,,,,,,,
imu,-0.00228607576620064,0.00167778208132408,0.000813831561026324,0,0,0,0.0124663914212775,8.55619789689327E-06,-3.21250435890868E-12,-2.41314768837352E-11,8.41381353288841E-06,8.24442552303421E-12,1.69672838575925E-05,0,0,0,0,0,0,package://rover_sensors_final/meshes/imu.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/imu.STL,,imu-1,Origin_imu_joint,,imu_joint,fixed,-0.54,-0.0008913,1.0936,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
led_matrix,0.0960905112668097,0.00456841157724408,-0.0480255043371332,0,0,0,0.105165344563662,0.0001036306163387,-2.21335184995688E-08,-3.96504134802987E-09,0.000478887126455816,7.52705637670652E-09,0.000378736157370013,0,0,0,0,0,0,package://rover_sensors_final/meshes/led_matrix.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rover_sensors_final/meshes/led_matrix.STL,,led_matrix-1,Origin_led_matrix_joint,,led_matrix_joint,fixed,-0.48887,-0.104,0.042,3.1416,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
